Name,Nationality,Gender,Birth,Death,Age,Total Works,Total Departments,Architecture & Design,Fluxus Collection,Drawings & Prints,Painting & Sculpture,Media and Performance,Photography,Film,Architecture & Design - Image Archive,Common Department,Start Work Date,End Work Date,Total Years
0.89663094,0.10769231,1.0,0.9158738,0.93231225,0.028175976,0.0028874814,0.0,0.0,0.0,0.0,0.0,0.0,0.01013715,0.0,0.0,1.0,0.0023687528,0.9391992,0.037383176
0.38667688,0.36923078,1.0,0.96945417,0.0,0.043005437,0.0057749627,0.0,0.0,0.0,0.024332345,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0033142206,0.97231835,0.046728972
0.87825423,0.015384615,1.0,0.96444666,0.9945652,0.04251112,0.004657228,0.2,0.0,0.0,0.020474777,0.013888889,0.0,0.0,0.0,0.0,0.16666667,0.0033345532,0.981216,0.056074765
0.30321592,0.015384615,1.0,0.96244365,0.99703556,0.04695996,0.005495529,0.0,0.0,0.0,0.023442136,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0033040543,0.97330695,0.06542056
0.7748851,0.015384615,1.0,0.9664497,0.9980237,0.04399407,8.38301E-4,0.4,9.3153234E-5,0.0,0.0077151335,0.027777778,0.0,0.0,0.0,0.0,0.16666667,0.0033040543,0.9871478,0.046728972
0.51914245,0.2769231,1.0,0.9619429,0.99110675,0.04152249,0.0,0.2,0.0,0.0,0.0050445106,0.041666668,0.0,0.0,0.0,0.0,0.16666667,0.003202391,0.9777558,0.093457945
0.86294025,0.015384615,1.0,0.96945417,0.993083,0.03608502,0.0011177347,0.2,0.0,0.0,0.008902078,0.027777778,0.0,0.0,0.0,0.0,0.16666667,0.0033548858,0.9841819,0.056074765
0.19295558,0.015384615,0.5,0.9629444,0.97381425,0.023232823,0.005961252,0.0,0.0,0.0,0.0,0.0,0.0,0.016696481,0.0,0.0,1.0,0.0033040543,0.9742956,0.10280374
0.024502298,0.015384615,1.0,0.9449174,0.97035575,0.03756797,0.001490313,0.2,0.0,0.0,0.009198813,0.06944445,0.0,0.0,0.0,0.0,0.16666667,0.002816071,0.97231835,0.07476635
0.0719755,0.015384615,1.0,0.9654482,0.9906126,0.03756797,0.0012108793,0.2,0.0,0.0,0.008605341,0.055555556,0.0,0.0,0.0,0.0,0.16666667,0.0033040543,0.9836876,0.11214953
0.2633997,0.33846155,1.0,0.92989486,0.9520751,0.03410776,0.4667474,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0026534097,0.96688086,0.28037384
0.44410414,0.33846155,1.0,0.9579369,0.96837944,0.022738507,0.0,0.0,0.0,0.0,0.005934718,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0031617258,0.96737516,0.018691588
0.77641654,0.015384615,1.0,0.9629444,0.99011856,0.03954523,0.0054023843,0.4,5.5891945E-4,0.0,5.934718E-4,0.0,0.0,0.013913735,0.0,0.0,1.0,0.0031718921,0.9896194,0.25233644
0.086523734,0.50769234,1.0,0.9669504,0.0,0.045477014,0.007824143,0.2,0.0,0.018276762,0.028783383,0.0,0.0,0.0,0.0,0.0,0.16666667,0.003324387,0.97973305,0.11214953
0.73124045,0.015384615,0.5,0.9489234,0.9817194,0.044982698,0.0015834576,0.0,0.0,0.0,0.010979229,0.0,0.0,0.0,0.0,0.0,0.16666667,0.002877069,0.95600593,0.11214953
0.5696784,0.03076923,1.0,0.95943916,0.9886364,0.04152249,0.0012108793,0.0,0.0,0.0,0.009792285,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0033447195,0.97231835,0.028037382
0.6906585,0.015384615,0.5,0.98948425,0.0,0.023232823,0.0010245901,0.0,0.0028877503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037818714,0.99752843,0.037383176
0.19984686,0.015384615,1.0,0.9794692,0.9990119,0.0321305,8.38301E-4,0.0,0.0,0.0,0.008605341,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0035683787,0.9876421,0.046728972
0.45635527,0.015384615,0.5,0.96594894,0.0,0.046465646,0.0015834576,0.2,0.0,0.0,0.010089021,0.041666668,0.0,0.0,0.0,0.0,0.16666667,0.0033040543,0.9930796,0.08411215
0.24502297,0.47692308,1.0,0.9634452,0.9896245,0.038556598,0.003632638,0.0,0.0,0.0,0.017507419,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0028974016,0.9752842,0.07476635
0.4555896,0.24615385,1.0,0.96594894,0.972332,0.018783985,2.7943368E-4,0.0,0.0,0.0,0.006824926,0.0,0.0,0.0,0.0,0.0,0.16666667,0.003293888,0.97182405,0.018691588
0.46784073,0.015384615,1.0,0.9669504,0.9980237,0.043499753,0.009314456,0.6,0.0,0.0,0.018694362,0.06944445,0.029126214,0.0091433115,0.0,0.0,0.16666667,0.0033650522,0.9960455,0.24299066
0.5658499,0.015384615,1.0,0.97396094,0.9950593,0.033613447,0.001490313,0.0,0.0,0.0,0.0,0.0,0.0,0.007155635,0.0,0.0,1.0,0.0033752185,0.9757785,0.037383176
0.93797857,0.9692308,1.0,0.9454181,0.9604743,0.027187346,0.0028874814,0.2,0.0,0.0,0.014836796,0.013888889,0.0,0.0,0.0,0.0,0.16666667,0.0028262374,0.9550173,0.009345794
0.25727412,0.36923078,1.0,0.9364046,0.9575099,0.03311913,0.0076378537,0.2,0.0,0.0,0.029673591,0.027777778,0.0,0.0,0.0,0.0,0.16666667,0.0027957382,0.9550173,0.13084112
0.31852987,0.015384615,1.0,0.9108663,0.9397233,0.04053386,0.0042846496,0.0,0.0,0.0,0.0,0.0,0.0,0.013118665,0.0,0.0,1.0,0.0021450936,0.9223925,0.028037382
0.9555896,0.015384615,1.0,0.9569354,0.9940711,0.049431536,0.0,0.2,0.0,0.0,0.0056379824,0.013888889,0.0,0.0,0.0,0.0,0.16666667,0.0032125574,0.99110234,0.07476635
0.906585,0.015384615,0.5,0.97396094,0.0,0.038556598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039753527,0.0,0.0,1.0,0.0035277135,0.9876421,0.07476635
0.79479325,0.015384615,1.0,0.96945417,0.0,0.043005437,0.0018628913,0.6,0.0,0.0,0.009198813,0.055555556,0.009708738,5.963029E-4,0.0,0.0,0.16666667,0.0033650522,0.99258524,0.1495327
0.44640124,0.015384615,0.5,0.9719579,0.9990119,0.03954523,5.5886735E-4,0.2,0.0,0.0,0.006824926,0.041666668,0.0,0.0,0.0,0.0,0.16666667,0.00342605,0.9896194,0.093457945
0.31240427,0.36923078,1.0,0.9704557,0.0,0.042016808,0.011736214,0.2,0.0,0.0,0.042433236,0.041666668,0.0,0.0,0.0,0.0,0.16666667,0.0033345532,0.99110234,0.26168224
0.56202143,0.015384615,1.0,0.96244365,0.9881423,0.038062282,0.022727273,0.2,0.0,0.0,0.077744804,0.027777778,0.0,0.0,0.0,0.0,0.16666667,0.0031820585,0.9807217,0.14018692
0.9586524,0.36923078,1.0,0.94591886,0.96590906,0.0321305,0.0026080478,0.4,8.3837914E-4,0.0,0.0106824925,0.041666668,0.0,0.0,0.0,0.0,0.16666667,0.0028974016,0.96638656,0.1588785
0.38591117,0.33846155,1.0,0.9018528,0.93231225,0.042016808,6.5201195E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0053667263,0.0,0.0,1.0,0.0021044284,0.9105289,0.009345794
0.3820827,0.015384615,1.0,0.95142716,0.98073125,0.04152249,0.013599106,0.6,0.0123893805,0.0,0.008308605,0.013888889,0.0,7.9507055E-4,0.0,0.0,0.0,0.0028974016,0.9762729,0.2897196
0.8300153,0.015384615,1.0,0.9569354,0.98221344,0.03756797,4.657228E-4,0.4,0.0,0.0,0.0056379824,0.027777778,0.0,7.9507055E-4,0.0,0.0,0.16666667,0.0030498963,0.99110234,0.13084112
0.27029097,0.47692308,1.0,0.9138708,0.9402174,0.038062282,0.006799553,0.0,0.0,0.0,0.0,0.0,0.0,0.01848539,0.0,0.0,1.0,0.0022670897,0.9194266,0.018691588
0.049770292,0.33846155,1.0,0.9489234,0.9757905,0.039050914,6.5201195E-4,0.0,0.0,0.0,0.008011869,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0030600626,0.97281265,0.028037382
0.103369065,0.015384615,1.0,0.9744617,0.0,0.038062282,9.314456E-5,0.2,0.0,0.0,8.902077E-4,0.0,0.0,0.0035778175,0.0,0.0,1.0,0.0034158838,0.9777558,0.028037382
0.65084225,0.36923078,1.0,0.9434151,0.96343875,0.0321305,0.018722057,0.4,9.3153234E-5,0.0,0.06379822,0.06944445,0.0,0.0,0.0,0.0,0.16666667,0.0027855719,0.9644093,0.20560747
0.27947932,0.10769231,1.0,0.90936404,0.93577075,0.038062282,7.451565E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.005565494,0.0,0.0,1.0,0.0022365907,0.9347504,0.037383176
0.6179173,0.47692308,1.0,0.96895343,0.0,0.043499753,7.451565E-4,0.0,0.0026082906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033548858,0.98467624,0.12149533
0.3598775,0.36923078,1.0,0.95242864,0.9757905,0.03559071,0.0038189269,0.4,0.0,0.0,0.008605341,0.027777778,0.0,0.0059630293,0.0,0.0,1.0,0.0030498963,0.9752842,0.11214953
0.2565084,0.015384615,1.0,0.93790686,0.9629447,0.037073653,0.0028874814,0.0,0.0,0.0,0.0,0.0,0.0,0.01013715,0.0,0.0,1.0,0.002816071,0.945131,0.0
0.6830015,0.015384615,1.0,0.99098647,0.0,0.021749876,0.0039120717,0.0,0.0057755006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038835346,0.99703413,0.0
